TPC-H,dynamic,dynamic-std,blocking,blocking-std,static-8,static-8-std,static-128,static-128-std,nonft,nonft-std,spool,spool-std
TPCH-1,9.252907991,0.04426437833,9.559084098,0.1978235535,9.068223953,0.1406566049,9.002479474,0.3741314128,9.565573295,0.06446254985,10.31666255,0.1368090794
TPCH-3,12.81369583,0.7842782377,14.5792737,0.2730235469,15.85905298,0.1266595517,15.55591536,0.3509903759,11.64885227,0.2001164437,25.82062308,1.358968922
TPCH-5,16.33488035,0.6718166266,22.08065716,0.6482425005,22.5622499,0.6521212274,19.16674749,0.1309184095,14.95071252,0.1641466625,32.66031369,0.7265543712
TPCH-6,4.240055799,0.0854047551,4.511227687,0.187627565,4.225476106,0.1121315659,4.177797794,0.04425237001,4.357638995,0.2507601959,5.4645799,0.06393946864
TPCH-7,12.0856235,0.2416106096,14.60797795,0.5052666331,17.44732149,0.4775518498,12.3021129,0.3834045391,12.05991546,1.301398563,27.22942464,1.467183127
TPCH-8,16.98455501,0.3257735592,20.04049118,0.7946217619,39.94602346,0.8157166474,16.93931802,0.09469607617,14.66366116,0.5588557226,38.59858855,0.5235585088
TPCH-9,21.83890367,0.6074422718,27.40523783,1.113133933,30.31623236,1.32422912,25.31570315,0.4217296269,19.95795496,0.3241056747,45.38138096,0.384290756
TPCH-10,12.92457374,0.4237323953,15.18696586,0.4890064451,19.01936237,0.227779956,12.9073875,0.4786923528,11.63741708,0.4308559796,23.67869242,1.141966922
