BreakPoint,base-runtime,ft-runtime,ft-std,ft-overhead,ft-overhead-std,spark-16-overhead-mean,spark-16-overhead-std,spark-16-runtime
16,21.83890367,25.2431732,0.7345943071,0.1558809723,0.033636959,0.0197537933,0.00838499467,37.99466667
33,21.83890367,24.00973018,0.8745124476,0.09940180825,0.04004378887,0.03567849986,0.02202248662,38.588
50,21.83890367,25.40892696,0.4119689387,0.1634708112,0.01886399359,0.1576009161,0.00923104759,43.13066667
66,21.83890367,28.00163984,1.408392713,0.2821907304,0.06449008315,0.1759411681,0.02229061282,43.814
83,21.83890367,29.55882851,2.074017425,0.3534941573,0.0949689351,0.1725504581,0.04884398886,43.68766667
