TPC-H,dynamic,dynamic-std,blocking,blocking-std,static-8,static-8-std,static-128,static-128-std,nonft,nonft-std,spool,spool-std
TPCH-1,12.89888183,0.09361206664,13.41246406,0.4501150835,12.19758336,0.2690215307,11.84679763,0.2640178702,12.82101496,0.3852785673,14.94867245,0.2599756262
TPCH-3,13.44988314,0.2153703133,17.40736373,1.138507953,13.00679278,0.7146532118,15.24448943,0.2495398384,11.99933004,0.6680546292,23.93407893,0.1134381054
TPCH-5,18.2110978,0.3293340094,23.38104781,0.4118425275,18.71140718,1.724972403,19.44112754,0.6456853912,14.54832451,0.4179093251,32.37866394,3.721235413
TPCH-6,5.749120792,0.08185895918,6.087531487,0.1989470027,5.65049688,0.07293446885,5.53016599,0.09234971639,5.606772025,0.1227181524,7.440028747,0.2464862862
TPCH-7,14.31743073,0.08035478754,17.84449784,0.2314229733,14.37997945,0.2855217117,14.72413858,0.2114773495,12.63783256,0.1207622105,26.21964041,0.5002305489
TPCH-8,21.29019745,0.4085859915,27.31339828,0.2378072524,20.33751591,0.4158680444,23.61431503,0.4037327004,17.42732088,0.5638500371,37.2482818,0.5258370113
TPCH-9,29.69850524,0.246224676,36.45928915,0.199468463,29.18919039,0.4108101307,32.14261786,0.1202453622,23.79454573,0.5574957581,44.65212456,0.656621412
TPCH-10,15.7659084,0.2961978449,19.54668562,0.9361321931,16.56489126,0.5779562339,15.51454592,0.6328279726,13.16577053,0.3599870046,24.86745683,1.638424585
